"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
99,,-6.8905152e-3,MISO,2,0x0004,OK
100,,-6.8710144e-3,MOSI,2,0x8800,OK
101,,-6.8710144e-3,MISO,2,0x0004,OK
102,,-6.8515136e-3,MOSI,2,0x8800,OK
103,,-6.8515136e-3,MISO,2,0x0004,OK
104,,-6.8320128e-3,MOSI,2,0x8800,OK
105,,-6.8320128e-3,MISO,2,0x0004,OK
106,,-6.8125184e-3,MOSI,2,0x8800,OK
107,,-6.8125184e-3,MISO,2,0x0004,OK
108,,-6.7930176e-3,MOSI,2,0x8800,OK
109,,-6.7930176e-3,MISO,2,0x0004,OK
110,,-6.7735168e-3,MOSI,2,0x8800,OK
111,,-6.7735168e-3,MISO,2,0x0004,OK
112,,-6.7540160e-3,MOSI,2,0x8800,OK
113,,-6.7540160e-3,MISO,2,0x0004,OK
114,,-6.7345152e-3,MOSI,2,0x8800,OK
115,,-6.7345152e-3,MISO,2,0x0004,OK
116,,-6.7150144e-3,MOSI,2,0x8800,OK
117,,-6.7150144e-3,MISO,2,0x0004,OK
118,,-6.6955136e-3,MOSI,2,0x8800,OK
119,,-6.6955136e-3,MISO,2,0x0004,OK
120,,-6.6760128e-3,MOSI,2,0x8800,OK
121,,-6.6760128e-3,MISO,2,0x0004,OK
122,,-6.6565184e-3,MOSI,2,0x8800,OK
123,,-6.6565184e-3,MISO,2,0x0004,OK
124,,-6.6370176e-3,MOSI,2,0x8800,OK
125,,-6.6370176e-3,MISO,2,0x0004,OK
126,,-6.6175168e-3,MOSI,2,0x8800,OK
127,,-6.6175168e-3,MISO,2,0x0004,OK
128,,-6.5980160e-3,MOSI,2,0x8800,OK
129,,-6.5980160e-3,MISO,2,0x0004,OK
130,,-6.4150144e-3,MOSI,2,0x8800,OK
131,,-6.4150144e-3,MISO,2,0x0004,OK
132,,-6.3955136e-3,MOSI,2,0x8800,OK
